timestamp,n_estimators,max_depth,min_samples_split,fold,mean_acc,mean_f1,mean_time
2025-10-31 14:47:40,5,20,10,3,0.7784,0.7624,9.5
2025-10-31 14:47:49,5,20,10,4,0.7526,0.7528,8.79
2025-10-31 14:47:59,5,20,10,5,0.8247,0.813,9.77
2025-10-31 14:48:08,5,20,10,6,0.8557,0.8572,9.36
2025-10-31 14:48:18,5,20,10,7,0.7668,0.776,9.67
2025-10-31 14:48:27,5,20,10,8,0.7047,0.6838,9.0
2025-10-31 14:48:36,5,20,10,9,0.8238,0.8378,9.34
2025-10-31 14:48:45,5,20,10,10,0.7617,0.7497,8.96
2025-10-31 14:48:55,10,5,2,1,0.7577,0.7449,10.07
2025-10-31 14:49:05,10,5,2,2,0.7938,0.7536,10.04
2025-10-31 14:49:15,10,5,2,3,0.7577,0.7265,10.17
2025-10-31 14:49:26,10,5,2,4,0.7268,0.7081,10.43
2025-10-31 14:49:36,10,5,2,5,0.8299,0.8104,9.69
2025-10-31 14:49:46,10,5,2,6,0.7423,0.7219,10.09
2025-10-31 14:49:56,10,5,2,7,0.715,0.688,10.43
2025-10-31 14:50:07,10,5,2,8,0.7461,0.7094,10.42
2025-10-31 14:50:16,10,5,2,9,0.7979,0.795,9.89
2025-10-31 14:50:28,10,5,2,10,0.6943,0.6545,11.55
2025-10-31 14:50:42,10,5,5,1,0.7526,0.7477,13.96
2025-10-31 14:50:53,10,5,5,2,0.7887,0.7482,11.14
2025-10-31 14:51:03,10,5,5,3,0.7732,0.7498,10.27
2025-10-31 14:51:17,10,5,5,4,0.7474,0.7236,13.72
2025-10-31 14:51:32,10,5,5,5,0.7732,0.7411,15.2
2025-10-31 14:51:43,10,5,5,6,0.7732,0.7576,10.47
2025-10-31 14:51:53,10,5,5,7,0.6995,0.6824,10.4
2025-10-31 14:52:04,10,5,5,8,0.7047,0.6415,10.79
2025-10-31 14:52:14,10,5,5,9,0.7047,0.6909,10.25
2025-10-31 14:52:25,10,5,5,10,0.7358,0.6895,10.42
2025-10-31 14:52:36,10,5,10,1,0.7835,0.779,10.86
2025-10-31 14:52:46,10,5,10,2,0.8041,0.7866,10.76
2025-10-31 14:52:57,10,5,10,3,0.7577,0.7192,10.25
2025-10-31 14:53:06,10,5,10,4,0.7371,0.7315,9.71
2025-10-31 14:53:17,10,5,10,5,0.768,0.7376,10.01
2025-10-31 14:53:27,10,5,10,6,0.799,0.7869,9.99
2025-10-31 14:53:36,10,5,10,7,0.7202,0.7043,9.65
2025-10-31 14:53:47,10,5,10,8,0.7565,0.7314,10.4
2025-10-31 14:53:57,10,5,10,9,0.7047,0.6843,10.02
2025-10-31 14:54:07,10,5,10,10,0.7306,0.696,9.9
2025-10-31 14:54:24,10,10,2,1,0.7887,0.7943,17.38
2025-10-31 14:54:41,10,10,2,2,0.8402,0.8322,16.84
2025-10-31 14:54:58,10,10,2,3,0.8402,0.8305,16.95
2025-10-31 14:55:15,10,10,2,4,0.768,0.7628,16.88
2025-10-31 14:55:32,10,10,2,5,0.8557,0.8417,16.93
2025-10-31 14:55:49,10,10,2,6,0.8247,0.8237,17.16
2025-10-31 14:56:06,10,10,2,7,0.8135,0.8203,17.14
2025-10-31 14:56:23,10,10,2,8,0.8083,0.7917,17.43
2025-10-31 14:56:41,10,10,2,9,0.7979,0.8083,17.03
2025-10-31 14:56:57,10,10,2,10,0.8497,0.8359,16.66
2025-10-31 14:57:14,10,10,5,1,0.7938,0.8016,17.18
2025-10-31 14:57:30,10,10,5,2,0.8608,0.8509,15.77
2025-10-31 14:57:47,10,10,5,3,0.7938,0.7776,16.84
2025-10-31 14:58:04,10,10,5,4,0.8041,0.8052,16.68
2025-10-31 14:58:21,10,10,5,5,0.8196,0.7966,17.05
2025-10-31 14:58:37,10,10,5,6,0.7887,0.7885,16.43
2025-10-31 14:58:54,10,10,5,7,0.7927,0.8016,16.73
2025-10-31 14:59:11,10,10,5,8,0.8135,0.791,17.05
2025-10-31 14:59:28,10,10,5,9,0.829,0.8387,17.02
2025-10-31 14:59:44,10,10,5,10,0.8446,0.8361,16.13
2025-10-31 15:00:01,10,10,10,1,0.8247,0.8317,16.47
2025-10-31 15:00:17,10,10,10,2,0.8505,0.8451,16.3
2025-10-31 15:00:33,10,10,10,3,0.8196,0.8059,16.18
2025-10-31 15:00:50,10,10,10,4,0.7887,0.7883,16.35
2025-10-31 15:01:06,10,10,10,5,0.8299,0.8168,16.27
2025-10-31 15:01:23,10,10,10,6,0.8557,0.8559,17.08
2025-10-31 15:01:39,10,10,10,7,0.7876,0.7924,16.4
2025-10-31 15:01:56,10,10,10,8,0.8031,0.7795,16.88
2025-10-31 15:02:13,10,10,10,9,0.8083,0.8192,16.74
2025-10-31 15:02:30,10,10,10,10,0.8187,0.8068,16.81
2025-10-31 15:02:49,10,15,2,1,0.8763,0.8806,18.78
2025-10-31 15:03:06,10,15,2,2,0.866,0.8601,17.53
2025-10-31 15:03:23,10,15,2,3,0.8557,0.849,17.01
2025-10-31 15:03:42,10,15,2,4,0.8557,0.8572,18.72
2025-10-31 15:04:01,10,15,2,5,0.8402,0.8294,18.63
2025-10-31 15:04:18,10,15,2,6,0.8454,0.8452,17.7
2025-10-31 15:04:36,10,15,2,7,0.8187,0.8308,17.52
2025-10-31 15:04:55,10,15,2,8,0.7979,0.7846,18.78
2025-10-31 15:05:13,10,15,2,9,0.8808,0.8899,18.57
2025-10-31 15:05:32,10,15,2,10,0.8446,0.8354,18.32
2025-10-31 15:05:50,10,15,5,1,0.8351,0.8444,18.67
2025-10-31 15:06:09,10,15,5,2,0.8608,0.8551,18.45
2025-10-31 15:06:27,10,15,5,3,0.866,0.8594,18.35
2025-10-31 15:06:45,10,15,5,4,0.8351,0.8366,17.71
2025-10-31 15:07:03,10,15,5,5,0.8505,0.8393,18.2
2025-10-31 15:07:21,10,15,5,6,0.8351,0.8359,18.09
2025-10-31 15:07:39,10,15,5,7,0.8238,0.8318,18.11
2025-10-31 15:07:58,10,15,5,8,0.8135,0.7998,18.21
2025-10-31 15:08:16,10,15,5,9,0.8031,0.8145,18.02
2025-10-31 15:08:33,10,15,5,10,0.829,0.8155,17.62
2025-10-31 15:08:51,10,15,10,1,0.8144,0.8203,17.57
2025-10-31 15:09:09,10,15,10,2,0.8247,0.817,18.07
2025-10-31 15:09:26,10,15,10,3,0.8351,0.8283,16.65
2025-10-31 15:09:43,10,15,10,4,0.8144,0.8154,17.65
2025-10-31 15:10:01,10,15,10,5,0.8351,0.8225,17.67
2025-10-31 15:10:19,10,15,10,6,0.8505,0.8517,17.76
2025-10-31 15:10:37,10,15,10,7,0.7927,0.8045,17.92
2025-10-31 15:10:54,10,15,10,8,0.8031,0.7813,17.19
2025-10-31 15:11:12,10,15,10,9,0.829,0.8424,17.75
2025-10-31 15:11:29,10,15,10,10,0.8135,0.8034,17.4
2025-10-31 15:11:48,10,20,2,1,0.8351,0.8452,19.11
2025-10-31 15:12:07,10,20,2,2,0.8454,0.8363,18.87
2025-10-31 15:12:25,10,20,2,3,0.8454,0.8345,18.17
2025-10-31 15:12:44,10,20,2,4,0.768,0.7698,18.8
2025-10-31 15:13:03,10,20,2,5,0.8247,0.8153,18.61
2025-10-31 15:13:22,10,20,2,6,0.866,0.8645,18.68
2025-10-31 15:13:41,10,20,2,7,0.8031,0.8101,19.41
2025-10-31 15:13:59,10,20,2,8,0.8446,0.8333,18.41
2025-10-31 15:14:18,10,20,2,9,0.7927,0.8075,18.51
2025-10-31 15:14:38,10,20,2,10,0.8705,0.8616,20.04
2025-10-31 15:14:58,10,20,5,1,0.7887,0.7989,19.57
2025-10-31 15:15:19,10,20,5,2,0.8247,0.8148,21.81
2025-10-31 15:15:41,10,20,5,3,0.8608,0.8505,21.53
2025-10-31 15:16:02,10,20,5,4,0.799,0.8044,21.42
2025-10-31 15:16:23,10,20,5,5,0.8299,0.8191,20.17
2025-10-31 15:16:44,10,20,5,6,0.8505,0.8502,20.92
2025-10-31 15:17:05,10,20,5,7,0.8446,0.8549,21.61
2025-10-31 15:17:25,10,20,5,8,0.8135,0.7973,20.21
2025-10-31 15:17:46,10,20,5,9,0.8187,0.8293,20.24
2025-10-31 15:18:06,10,20,5,10,0.8083,0.7936,20.28
2025-10-31 15:18:24,10,20,10,1,0.768,0.782,18.27
2025-10-31 15:18:45,10,20,10,2,0.8608,0.8566,20.83
2025-10-31 15:19:05,10,20,10,3,0.866,0.8549,19.66
2025-10-31 15:19:25,10,20,10,4,0.8299,0.8344,20.4
2025-10-31 15:19:44,10,20,10,5,0.8814,0.8709,18.97
2025-10-31 15:20:04,10,20,10,6,0.8299,0.8312,19.28
2025-10-31 15:20:23,10,20,10,7,0.829,0.8407,19.08
2025-10-31 15:20:42,10,20,10,8,0.8031,0.7885,19.77
2025-10-31 15:21:04,10,20,10,9,0.7979,0.8127,21.94
2025-10-31 15:21:22,10,20,10,10,0.7927,0.7846,17.76
2025-10-31 15:21:43,20,5,2,1,0.7577,0.7469,20.87
2025-10-31 15:22:04,20,5,2,2,0.8144,0.7938,21.35
2025-10-31 15:22:26,20,5,2,3,0.7474,0.6963,21.62
2025-10-31 15:22:46,20,5,2,4,0.7732,0.7599,20.27
2025-10-31 15:23:07,20,5,2,5,0.7629,0.727,20.92
2025-10-31 15:23:28,20,5,2,6,0.799,0.788,20.85
2025-10-31 15:23:52,20,5,2,7,0.7358,0.7142,24.28
2025-10-31 15:24:14,20,5,2,8,0.7461,0.7082,21.72
2025-10-31 15:24:36,20,5,2,9,0.7461,0.7385,22.01
2025-10-31 15:24:58,20,5,2,10,0.8031,0.7724,22.0
2025-10-31 15:25:20,20,5,5,1,0.768,0.7637,21.53
2025-10-31 15:25:40,20,5,5,2,0.8041,0.7571,20.38
2025-10-31 15:26:01,20,5,5,3,0.8196,0.798,20.23
2025-10-31 15:26:21,20,5,5,4,0.732,0.7112,20.07
2025-10-31 15:26:42,20,5,5,5,0.768,0.7224,21.32
2025-10-31 15:27:03,20,5,5,6,0.8144,0.8062,20.62
2025-10-31 15:27:24,20,5,5,7,0.7358,0.7258,20.91
2025-10-31 15:27:45,20,5,5,8,0.7409,0.6829,21.22
2025-10-31 15:28:06,20,5,5,9,0.7409,0.7285,21.61
2025-10-31 15:28:32,20,5,5,10,0.7409,0.6912,25.25
2025-10-31 15:28:54,20,5,10,1,0.7216,0.7132,22.11
2025-10-31 15:29:16,20,5,10,2,0.7835,0.7483,22.28
2025-10-31 15:29:38,20,5,10,3,0.768,0.7412,21.75
2025-10-31 15:29:59,20,5,10,4,0.7629,0.7479,21.27
2025-10-31 15:30:21,20,5,10,5,0.7577,0.7249,21.73
2025-10-31 15:30:43,20,5,10,6,0.8196,0.8139,22.2
2025-10-31 15:31:04,20,5,10,7,0.7306,0.7236,20.88
2025-10-31 15:31:25,20,5,10,8,0.7772,0.7499,20.85
2025-10-31 15:31:46,20,5,10,9,0.7358,0.7256,20.66
2025-10-31 15:32:05,20,5,10,10,0.7565,0.7178,19.69
2025-10-31 15:32:39,20,10,2,1,0.8608,0.8684,33.46
2025-10-31 15:33:12,20,10,2,2,0.9021,0.8958,33.5
2025-10-31 15:33:46,20,10,2,3,0.8763,0.8682,33.37
2025-10-31 15:34:19,20,10,2,4,0.8196,0.8196,33.6
2025-10-31 15:34:52,20,10,2,5,0.8866,0.8789,33.07
2025-10-31 15:35:26,20,10,2,6,0.8608,0.8612,33.64
2025-10-31 15:35:59,20,10,2,7,0.8135,0.82,33.16
2025-10-31 15:36:34,20,10,2,8,0.8031,0.7823,34.69
2025-10-31 15:37:08,20,10,2,9,0.8238,0.8299,34.25
2025-10-31 15:37:42,20,10,2,10,0.8031,0.7883,33.18
2025-10-31 15:38:15,20,10,5,1,0.8402,0.8463,33.76
2025-10-31 15:38:49,20,10,5,2,0.9124,0.9081,33.15
2025-10-31 15:39:21,20,10,5,3,0.8866,0.8759,32.56
2025-10-31 15:39:55,20,10,5,4,0.8041,0.8038,33.73
2025-10-31 15:40:28,20,10,5,5,0.8711,0.8595,32.88
2025-10-31 15:41:04,20,10,5,6,0.866,0.8654,35.76
