timestamp,max_depth,min_samples_split,fold,acc,f1,time
2025-10-30 21:04:02,17,2,8,0.8497,0.8485,0.02
2025-10-30 21:04:02,17,2,9,0.8342,0.8341,0.02
2025-10-30 21:04:02,17,2,10,0.8653,0.8626,0.03
2025-10-30 21:04:02,17,5,1,0.7835,0.7791,0.03
2025-10-30 21:04:02,17,5,2,0.8711,0.8724,0.02
2025-10-30 21:04:02,17,5,3,0.8299,0.8301,0.02
2025-10-30 21:04:02,17,5,4,0.8402,0.8363,0.02
2025-10-30 21:04:03,17,5,5,0.8196,0.8173,0.02
2025-10-30 21:04:03,17,5,6,0.8402,0.8381,0.03
2025-10-30 21:04:03,17,5,7,0.8446,0.8399,0.03
2025-10-30 21:04:03,17,5,8,0.7927,0.7885,0.02
2025-10-30 21:04:03,17,5,9,0.8342,0.8328,0.02
2025-10-30 21:04:03,17,5,10,0.8601,0.8586,0.02
2025-10-30 21:04:03,17,7,1,0.7938,0.788,0.02
2025-10-30 21:04:03,17,7,2,0.8608,0.8621,0.03
2025-10-30 21:04:03,17,7,3,0.8196,0.8205,0.02
2025-10-30 21:04:03,17,7,4,0.8299,0.8258,0.02
2025-10-30 21:04:03,17,7,5,0.8093,0.8065,0.02
2025-10-30 21:04:03,17,7,6,0.8247,0.8238,0.02
2025-10-30 21:04:03,17,7,7,0.8187,0.8121,0.02
2025-10-30 21:04:03,17,7,8,0.8031,0.8021,0.01
2025-10-30 21:04:03,17,7,9,0.8135,0.8145,0.02
2025-10-30 21:04:03,17,7,10,0.8394,0.8379,0.02
2025-10-30 21:04:03,17,10,1,0.799,0.7918,0.02
2025-10-30 21:04:03,17,10,2,0.8454,0.8468,0.02
2025-10-30 21:04:03,17,10,3,0.8299,0.8314,0.02
2025-10-30 21:04:03,17,10,4,0.8454,0.838,0.02
2025-10-30 21:04:03,17,10,5,0.7835,0.78,0.02
2025-10-30 21:04:03,17,10,6,0.8144,0.8127,0.03
2025-10-30 21:04:03,17,10,7,0.8135,0.807,0.02
2025-10-30 21:04:03,17,10,8,0.7927,0.7928,0.03
2025-10-30 21:04:03,17,10,9,0.8238,0.825,0.02
2025-10-30 21:04:03,17,10,10,0.829,0.8288,0.03
2025-10-30 21:04:03,20,2,1,0.799,0.7952,0.02
2025-10-30 21:04:04,20,2,2,0.8351,0.8382,0.03
2025-10-30 21:04:04,20,2,3,0.8351,0.8358,0.02
2025-10-30 21:04:04,20,2,4,0.8402,0.836,0.02
2025-10-30 21:04:04,20,2,5,0.8299,0.8255,0.02
2025-10-30 21:04:04,20,2,6,0.8351,0.8343,0.02
2025-10-30 21:04:04,20,2,7,0.8653,0.862,0.02
2025-10-30 21:04:04,20,2,8,0.8394,0.8367,0.02
2025-10-30 21:04:04,20,2,9,0.8342,0.8341,0.02
2025-10-30 21:04:04,20,2,10,0.8446,0.8412,0.02
2025-10-30 21:04:04,20,5,1,0.7835,0.7791,0.02
2025-10-30 21:04:04,20,5,2,0.8711,0.8724,0.02
2025-10-30 21:04:04,20,5,3,0.8196,0.8211,0.02
2025-10-30 21:04:04,20,5,4,0.8351,0.831,0.02
2025-10-30 21:04:04,20,5,5,0.8196,0.8173,0.02
2025-10-30 21:04:04,20,5,6,0.8402,0.8387,0.02
2025-10-30 21:04:04,20,5,7,0.8446,0.8399,0.02
2025-10-30 21:04:04,20,5,8,0.7927,0.7885,0.02
2025-10-30 21:04:04,20,5,9,0.8342,0.8328,0.02
2025-10-30 21:04:04,20,5,10,0.829,0.8266,0.03
2025-10-30 21:04:04,20,7,1,0.7938,0.788,0.02
2025-10-30 21:04:04,20,7,2,0.8608,0.8621,0.03
2025-10-30 21:04:04,20,7,3,0.8196,0.8233,0.02
2025-10-30 21:04:04,20,7,4,0.8608,0.8568,0.03
2025-10-30 21:04:04,20,7,5,0.8093,0.8065,0.02
2025-10-30 21:04:05,20,7,6,0.8247,0.8238,0.02
2025-10-30 21:04:05,20,7,7,0.8187,0.8121,0.02
2025-10-30 21:04:05,20,7,8,0.8031,0.8021,0.02
2025-10-30 21:04:05,20,7,9,0.8135,0.8145,0.02
2025-10-30 21:04:05,20,7,10,0.8549,0.8539,0.02
2025-10-30 21:04:05,20,10,1,0.799,0.7918,0.02
2025-10-30 21:04:05,20,10,2,0.8454,0.8468,0.02
2025-10-30 21:04:05,20,10,3,0.8247,0.8269,0.02
2025-10-30 21:04:05,20,10,4,0.8608,0.8561,0.02
2025-10-30 21:04:05,20,10,5,0.7835,0.78,0.02
2025-10-30 21:04:05,20,10,6,0.8144,0.8127,0.02
2025-10-30 21:04:05,20,10,7,0.8135,0.807,0.02
2025-10-30 21:04:05,20,10,8,0.7927,0.7928,0.02
2025-10-30 21:04:05,20,10,9,0.8238,0.825,0.02
2025-10-30 21:04:05,20,10,10,0.8238,0.823,0.02
2025-10-30 21:08:59,5,2,1,0.7371,0.731,0.01
2025-10-30 21:08:59,5,2,2,0.768,0.7607,0.01
2025-10-30 21:08:59,5,2,3,0.7526,0.7451,0.01
2025-10-30 21:08:59,5,2,4,0.7526,0.7474,0.01
2025-10-30 21:08:59,5,2,5,0.7577,0.7464,0.01
2025-10-30 21:08:59,5,2,6,0.768,0.7559,0.01
2025-10-30 21:08:59,5,2,7,0.772,0.7586,0.01
2025-10-30 21:08:59,5,2,8,0.772,0.7642,0.02
2025-10-30 21:08:59,5,2,9,0.7772,0.7581,0.01
2025-10-30 21:08:59,5,2,10,0.7772,0.7682,0.01
2025-10-30 21:08:59,5,5,1,0.7371,0.731,0.01
2025-10-30 21:08:59,5,5,2,0.768,0.7607,0.01
2025-10-30 21:08:59,5,5,3,0.7526,0.7451,0.01
2025-10-30 21:08:59,5,5,4,0.7526,0.7474,0.02
2025-10-30 21:08:59,5,5,5,0.7526,0.7406,0.01
2025-10-30 21:08:59,5,5,6,0.768,0.7559,0.0
2025-10-30 21:08:59,5,5,7,0.772,0.7586,0.01
2025-10-30 21:08:59,5,5,8,0.7668,0.7587,0.01
2025-10-30 21:08:59,5,5,9,0.7772,0.7581,0.01
2025-10-30 21:08:59,5,5,10,0.7772,0.7682,0.01
2025-10-30 21:08:59,5,7,1,0.7371,0.731,0.01
2025-10-30 21:08:59,5,7,2,0.768,0.7607,0.01
2025-10-30 21:09:00,5,7,3,0.7526,0.7451,0.01
2025-10-30 21:09:00,5,7,4,0.7577,0.7527,0.02
2025-10-30 21:09:00,5,7,5,0.7526,0.7406,0.01
2025-10-30 21:09:00,5,7,6,0.768,0.7559,0.01
2025-10-30 21:09:00,5,7,7,0.772,0.7586,0.01
2025-10-30 21:09:00,5,7,8,0.7668,0.7587,0.01
2025-10-30 21:09:00,5,7,9,0.7772,0.7581,0.01
2025-10-30 21:09:00,5,7,10,0.7772,0.7682,0.01
2025-10-30 21:09:00,5,10,1,0.7371,0.731,0.01
2025-10-30 21:09:00,5,10,2,0.7629,0.7543,0.01
2025-10-30 21:09:00,5,10,3,0.7526,0.7451,0.01
2025-10-30 21:09:00,5,10,4,0.7577,0.7527,0.01
2025-10-30 21:09:00,5,10,5,0.7526,0.7398,0.01
2025-10-30 21:09:00,5,10,6,0.768,0.7559,0.01
2025-10-30 21:09:00,5,10,7,0.772,0.7586,0.01
2025-10-30 21:09:00,5,10,8,0.7668,0.7587,0.02
2025-10-30 21:09:00,5,10,9,0.7772,0.7581,0.01
2025-10-30 21:09:00,5,10,10,0.7772,0.7682,0.01
2025-10-30 21:09:00,7,2,1,0.7835,0.7738,0.02
2025-10-30 21:09:00,7,2,2,0.8196,0.8182,0.01
2025-10-30 21:09:00,7,2,3,0.799,0.794,0.01
2025-10-30 21:09:00,7,2,4,0.8557,0.8488,0.02
2025-10-30 21:09:00,7,2,5,0.8144,0.8109,0.01
2025-10-30 21:09:00,7,2,6,0.7938,0.7886,0.01
2025-10-30 21:09:00,7,2,7,0.8446,0.8361,0.01
2025-10-30 21:09:00,7,2,8,0.829,0.8214,0.02
2025-10-30 21:09:00,7,2,9,0.7927,0.7897,0.01
2025-10-30 21:09:00,7,2,10,0.8497,0.8466,0.01
2025-10-30 21:09:00,7,5,1,0.7835,0.772,0.01
2025-10-30 21:09:00,7,5,2,0.8144,0.8128,0.01
2025-10-30 21:09:00,7,5,3,0.799,0.794,0.01
2025-10-30 21:09:01,7,5,4,0.8505,0.8439,0.01
2025-10-30 21:09:01,7,5,5,0.8093,0.8041,0.01
2025-10-30 21:09:01,7,5,6,0.799,0.7947,0.01
2025-10-30 21:09:01,7,5,7,0.8446,0.8361,0.01
2025-10-30 21:09:01,7,5,8,0.8083,0.7995,0.01
2025-10-30 21:09:01,7,5,9,0.8031,0.8009,0.01
2025-10-30 21:09:01,7,5,10,0.8549,0.8518,0.02
2025-10-30 21:09:01,7,7,1,0.7784,0.7658,0.01
2025-10-30 21:09:01,7,7,2,0.8196,0.8182,0.01
2025-10-30 21:09:01,7,7,3,0.7938,0.7891,0.01
2025-10-30 21:09:01,7,7,4,0.8557,0.8488,0.01
2025-10-30 21:09:01,7,7,5,0.8041,0.7998,0.01
2025-10-30 21:09:01,7,7,6,0.7887,0.7831,0.02
