timestamp,max_depth,min_samples_split,fold,mean_acc,mean_f1,mean_time
2025-10-31 11:16:32,13,2,5,0.8402,0.8235,13.47
2025-10-31 11:16:45,13,2,6,0.8454,0.8468,13.12
2025-10-31 11:17:00,13,2,7,0.8031,0.8124,14.99
2025-10-31 11:17:15,13,2,8,0.7617,0.7462,14.92
2025-10-31 11:17:28,13,2,9,0.8394,0.8505,13.15
2025-10-31 11:17:43,13,2,10,0.8653,0.8549,14.55
2025-10-31 11:17:57,13,5,1,0.8763,0.8811,14.85
2025-10-31 11:18:12,13,5,2,0.8454,0.8375,14.16
2025-10-31 11:18:26,13,5,3,0.8608,0.8534,14.08
2025-10-31 11:18:39,13,5,4,0.8093,0.8092,13.44
2025-10-31 11:18:53,13,5,5,0.8454,0.8295,13.65
2025-10-31 11:19:06,13,5,6,0.8402,0.8416,13.42
2025-10-31 11:19:21,13,5,7,0.7927,0.8027,14.83
2025-10-31 11:19:35,13,5,8,0.7565,0.7425,14.35
2025-10-31 11:19:49,13,5,9,0.8497,0.8588,13.17
2025-10-31 11:20:03,13,5,10,0.8705,0.8601,14.06
2025-10-31 11:20:18,13,7,1,0.8711,0.8763,15.13
2025-10-31 11:20:32,13,7,2,0.8402,0.8316,14.33
2025-10-31 11:20:47,13,7,3,0.8505,0.8422,14.31
2025-10-31 11:21:00,13,7,4,0.799,0.7996,13.24
2025-10-31 11:21:13,13,7,5,0.8505,0.8354,13.27
2025-10-31 11:21:26,13,7,6,0.8557,0.8567,13.27
2025-10-31 11:21:41,13,7,7,0.7824,0.7946,14.95
2025-10-31 11:21:56,13,7,8,0.7513,0.7386,14.55
2025-10-31 11:22:09,13,7,9,0.8238,0.8349,12.87
2025-10-31 11:22:24,13,7,10,0.8705,0.8601,14.88
2025-10-31 11:22:40,13,10,1,0.8711,0.8763,16.32
2025-10-31 11:22:55,13,10,2,0.8454,0.8367,14.97
2025-10-31 11:23:10,13,10,3,0.8505,0.8418,14.85
2025-10-31 11:23:24,13,10,4,0.799,0.7992,14.14
2025-10-31 11:23:38,13,10,5,0.8351,0.8181,14.39
2025-10-31 11:23:52,13,10,6,0.8351,0.8365,13.23
2025-10-31 11:24:06,13,10,7,0.7824,0.7946,14.59
2025-10-31 11:24:22,13,10,8,0.7513,0.7364,15.99
2025-10-31 11:24:35,13,10,9,0.7979,0.8111,13.0
2025-10-31 11:24:50,13,10,10,0.8756,0.8661,15.16
2025-10-31 11:25:06,15,2,1,0.8814,0.886,15.78
2025-10-31 11:25:22,15,2,2,0.8557,0.8493,15.26
2025-10-31 11:25:37,15,2,3,0.866,0.8588,15.15
2025-10-31 11:25:52,15,2,4,0.8093,0.8094,15.09
2025-10-31 11:26:08,15,2,5,0.8351,0.8178,15.94
2025-10-31 11:26:23,15,2,6,0.8454,0.8462,15.22
2025-10-31 11:26:39,15,2,7,0.8031,0.8124,15.96
2025-10-31 11:26:55,15,2,8,0.7617,0.7464,15.72
2025-10-31 11:27:09,15,2,9,0.8394,0.8505,14.38
2025-10-31 11:27:24,15,2,10,0.8653,0.8549,15.14
2025-10-31 11:27:41,15,5,1,0.8814,0.886,16.41
2025-10-31 11:27:57,15,5,2,0.8454,0.8392,15.94
2025-10-31 11:28:12,15,5,3,0.8608,0.8534,15.66
2025-10-31 11:28:26,15,5,4,0.8093,0.8094,14.17
2025-10-31 11:28:41,15,5,5,0.8454,0.8295,14.1
2025-10-31 11:28:55,15,5,6,0.8454,0.8462,14.08
2025-10-31 11:29:12,15,5,7,0.7927,0.8027,16.85
2025-10-31 11:29:27,15,5,8,0.7565,0.7427,15.62
2025-10-31 11:29:41,15,5,9,0.8497,0.8588,13.68
2025-10-31 11:29:56,15,5,10,0.8705,0.8601,15.33
2025-10-31 11:30:13,15,7,1,0.8763,0.8811,16.5
2025-10-31 11:30:28,15,7,2,0.8351,0.8276,15.62
2025-10-31 11:30:43,15,7,3,0.8505,0.8422,14.6
2025-10-31 11:30:58,15,7,4,0.799,0.7998,14.5
2025-10-31 11:31:13,15,7,5,0.8505,0.8354,15.17
2025-10-31 11:31:28,15,7,6,0.8608,0.8613,15.24
2025-10-31 11:31:44,15,7,7,0.7824,0.7946,16.22
2025-10-31 11:31:59,15,7,8,0.7513,0.7388,14.29
2025-10-31 11:32:12,15,7,9,0.8238,0.8349,13.25
2025-10-31 11:32:28,15,7,10,0.8705,0.8601,15.72
2025-10-31 11:32:43,15,10,1,0.8763,0.8811,15.29
2025-10-31 11:32:57,15,10,2,0.8454,0.8376,14.24
2025-10-31 11:33:11,15,10,3,0.8505,0.8418,13.98
2025-10-31 11:33:27,15,10,4,0.799,0.7996,15.69
2025-10-31 11:33:42,15,10,5,0.8351,0.8181,15.02
2025-10-31 11:33:58,15,10,6,0.8351,0.8365,15.59
2025-10-31 11:34:14,15,10,7,0.7824,0.7946,16.6
2025-10-31 11:34:30,15,10,8,0.7513,0.7366,15.48
2025-10-31 11:34:44,15,10,9,0.7979,0.8111,13.98
2025-10-31 11:34:59,15,10,10,0.8756,0.8661,15.23
2025-10-31 11:35:14,17,2,1,0.8814,0.886,15.29
2025-10-31 11:35:29,17,2,2,0.8557,0.8493,14.88
2025-10-31 11:35:44,17,2,3,0.866,0.8588,14.61
2025-10-31 11:35:58,17,2,4,0.8093,0.8094,14.45
2025-10-31 11:36:13,17,2,5,0.8351,0.8178,14.94
2025-10-31 11:36:27,17,2,6,0.8454,0.8462,13.98
2025-10-31 11:36:42,17,2,7,0.8031,0.8124,15.28
2025-10-31 11:36:57,17,2,8,0.7617,0.7464,14.36
2025-10-31 11:37:10,17,2,9,0.8394,0.8505,12.71
2025-10-31 11:37:24,17,2,10,0.8653,0.8549,13.94
2025-10-31 11:37:39,17,5,1,0.8814,0.886,15.22
2025-10-31 11:37:53,17,5,2,0.8454,0.8392,14.62
2025-10-31 11:38:07,17,5,3,0.8608,0.8534,14.04
2025-10-31 11:38:22,17,5,4,0.8093,0.8094,14.66
2025-10-31 11:38:37,17,5,5,0.8454,0.8295,14.68
2025-10-31 11:38:52,17,5,6,0.8454,0.8462,14.82
2025-10-31 11:39:07,17,5,7,0.7927,0.8027,15.55
2025-10-31 11:39:23,17,5,8,0.7565,0.7427,15.71
2025-10-31 11:39:37,17,5,9,0.8497,0.8588,14.28
2025-10-31 11:39:53,17,5,10,0.8705,0.8601,15.83
2025-10-31 11:40:10,17,7,1,0.8763,0.8811,16.95
2025-10-31 11:40:24,17,7,2,0.8351,0.8276,14.25
2025-10-31 11:40:39,17,7,3,0.8505,0.8422,14.79
2025-10-31 11:40:54,17,7,4,0.799,0.7998,14.78
2025-10-31 11:41:09,17,7,5,0.8505,0.8354,15.53
2025-10-31 11:41:24,17,7,6,0.8608,0.8613,14.36
2025-10-31 11:41:39,17,7,7,0.7824,0.7946,14.88
2025-10-31 11:41:54,17,7,8,0.7513,0.7388,14.94
2025-10-31 11:42:07,17,7,9,0.8238,0.8349,12.99
2025-10-31 11:42:23,17,7,10,0.8705,0.8601,16.34
2025-10-31 11:42:38,17,10,1,0.8763,0.8811,15.04
2025-10-31 11:42:52,17,10,2,0.8454,0.8376,13.79
2025-10-31 11:43:06,17,10,3,0.8505,0.8418,14.41
2025-10-31 11:43:20,17,10,4,0.799,0.7996,13.52
2025-10-31 11:43:34,17,10,5,0.8351,0.8181,14.56
2025-10-31 11:43:48,17,10,6,0.8351,0.8365,14.03
2025-10-31 11:44:03,17,10,7,0.7824,0.7946,14.57
2025-10-31 11:44:17,17,10,8,0.7513,0.7366,13.83
2025-10-31 11:44:30,17,10,9,0.7979,0.8111,12.66
2025-10-31 11:44:43,17,10,10,0.8756,0.8661,13.27
2025-10-31 11:44:57,20,2,1,0.8814,0.886,14.57
2025-10-31 11:45:11,20,2,2,0.8557,0.8493,13.79
2025-10-31 11:45:25,20,2,3,0.866,0.8588,13.61
2025-10-31 11:45:38,20,2,4,0.8093,0.8094,13.55
2025-10-31 11:45:52,20,2,5,0.8351,0.8178,13.56
2025-10-31 11:46:05,20,2,6,0.8454,0.8462,12.88
2025-10-31 11:46:19,20,2,7,0.8031,0.8124,14.26
2025-10-31 11:46:33,20,2,8,0.7617,0.7464,13.9
2025-10-31 11:46:46,20,2,9,0.8394,0.8505,12.77
2025-10-31 11:46:59,20,2,10,0.8653,0.8549,13.5
2025-10-31 11:47:14,20,5,1,0.8814,0.886,14.52
2025-10-31 11:47:28,20,5,2,0.8454,0.8392,13.72
2025-10-31 11:47:41,20,5,3,0.8608,0.8534,13.68
2025-10-31 11:47:55,20,5,4,0.8093,0.8094,13.22
2025-10-31 11:48:08,20,5,5,0.8454,0.8295,13.5
2025-10-31 11:48:21,20,5,6,0.8454,0.8462,13.07
2025-10-31 11:48:35,20,5,7,0.7927,0.8027,14.22
2025-10-31 11:48:50,20,5,8,0.7565,0.7427,14.06
2025-10-31 11:49:02,20,5,9,0.8497,0.8588,12.37
2025-10-31 11:49:15,20,5,10,0.8705,0.8601,13.41
2025-10-31 11:49:30,20,7,1,0.8763,0.8811,14.47
2025-10-31 11:49:43,20,7,2,0.8351,0.8276,13.65
2025-10-31 11:49:57,20,7,3,0.8505,0.8422,13.74
2025-10-31 11:50:10,20,7,4,0.799,0.7998,13.0
2025-10-31 11:50:24,20,7,5,0.8505,0.8354,13.43
2025-10-31 11:50:36,20,7,6,0.8608,0.8613,12.75
2025-10-31 11:50:51,20,7,7,0.7824,0.7946,14.2
2025-10-31 11:51:05,20,7,8,0.7513,0.7388,14.21
2025-10-31 11:51:17,20,7,9,0.8238,0.8349,12.3
2025-10-31 11:51:31,20,7,10,0.8705,0.8601,13.35
2025-10-31 11:51:45,20,10,1,0.8763,0.8811,14.33
2025-10-31 11:51:59,20,10,2,0.8454,0.8376,13.54
2025-10-31 11:52:12,20,10,3,0.8505,0.8418,13.66
2025-10-31 11:52:25,20,10,4,0.799,0.7996,12.89
2025-10-31 11:52:38,20,10,5,0.8351,0.8181,13.31
2025-10-31 11:52:51,20,10,6,0.8351,0.8365,12.67
2025-10-31 11:53:05,20,10,7,0.7824,0.7946,14.04
2025-10-31 11:53:19,20,10,8,0.7513,0.7366,13.91
2025-10-31 11:53:31,20,10,9,0.7979,0.8111,12.2
2025-10-31 11:53:45,20,10,10,0.8756,0.8661,13.24
